id,created_at,text,author_id,public_metrics,entities,source,referenced_tweets,in_reply_to_user_id
1565717872030138368,2022-09-02T15:06:44.000Z,"@Faguila12 @encuentrosg2 Acá estamos firmes,con la democracia y Cristina no se jode.",1242500088448135169,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}","{'annotations': [{'start': 64, 'end': 71, 'probability': 0.9919, 'type': 'Person', 'normalized_text': 'Cristina'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'Faguila12', 'id': '1484940864581472267'}, {'start': 11, 'end': 24, 'username': 'encuentrosg2', 'id': '1203391971269709824'}]}",Twitter for Android,"[{'type': 'replied_to', 'id': '1565709859890266112'}]",1484940864581472267
1565717809623171075,2022-09-02T15:06:30.000Z,"Los dirigentes se pronunciaron en redes sociales. En líneas generales, Cambiemos repudió el intento de homicidio y llamó ""a la reflexión y paz social"".

https://t.co/mOCxt4zgNf",2788159435,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","{'annotations': [{'start': 71, 'end': 79, 'probability': 0.4796, 'type': 'Organization', 'normalized_text': 'Cambiemos'}], 'urls': [{'start': 153, 'end': 176, 'url': 'https://t.co/mOCxt4zgNf', 'expanded_url': 'https://elnumeral.com/2022/09/02/la-reaccion-de-cambiemos-frente-al-intento-de-magnicidio-contra-cristina/', 'display_url': 'elnumeral.com/2022/09/02/la-…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1565717810625626112/YQqD_C2G?format=jpg&name=orig', 'width': 1920, 'height': 1080}, {'url': 'https://pbs.twimg.com/news_img/1565717810625626112/YQqD_C2G?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'La reacción de Cambiemos frente al intento de magnicidio contra Cristina', 'description': 'Los dirigentes se pronunciaron en redes sociales. En líneas generales Cambiemos repudió el intento de homicidio y llamó a la reflexión y paz social.', 'unwound_url': 'https://elnumeral.com/2022/09/02/la-reaccion-de-cambiemos-frente-al-intento-de-magnicidio-contra-cristina/'}]}",Twitter for Android,,
1565717802375430147,2022-09-02T15:06:28.000Z,"#NACIONALES Duro mensaje de la Diputada Amalia Granata sobre lo ocurrido con Cristina Kirchner, “Todo armado que pantomima"" señaló en sus redes sociales.
@amaliagranata @cristinafkirchner en Argentina https://t.co/FcbxKdWsNM",1371294095981867009,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 40, 'end': 53, 'probability': 0.7103, 'type': 'Person', 'normalized_text': 'Amalia Granata'}, {'start': 77, 'end': 93, 'probability': 0.9952, 'type': 'Person', 'normalized_text': 'Cristina Kirchner'}, {'start': 191, 'end': 199, 'probability': 0.9911, 'type': 'Place', 'normalized_text': 'Argentina'}], 'hashtags': [{'start': 0, 'end': 11, 'tag': 'NACIONALES'}], 'urls': [{'start': 201, 'end': 224, 'url': 'https://t.co/FcbxKdWsNM', 'expanded_url': 'https://www.instagram.com/p/CiAj4Npuw46/?igshid=YTgzYjQ4ZTY=', 'display_url': 'instagram.com/p/CiAj4Npuw46/…', 'status': 200, 'title': 'Diario Ahora Litoral (@diarioahoralitoral) • Instagram photo', 'description': 'Diario Ahora Litoral shared a post on Instagram: ""#NACIONALES Duro mensaje de la Diputada Amalia Granata sobre lo ocurrido con Cristina Kirchner, “Todo armado que pantomima"" señaló en sus redes sociales. @amaliagranata @cristinafkirchner"". Follow their account to see 5575 posts.', 'unwound_url': 'https://www.instagram.com/p/CiAj4Npuw46/?igshid=YTgzYjQ4ZTY='}], 'mentions': [{'start': 154, 'end': 168, 'username': 'AmaliaGranata', 'id': '330824077'}]}",Instagram,,
1565717762143567874,2022-09-02T15:06:18.000Z,"@C5N Hola qué tal yo estoy muy triste, soy de la generación que luchamos por un país mejor, y la derecha siempre destruyendo todo. Cuánta injusticia con Cristina, no toleran ser inferiores a ella. Mediocres y asesinos.",1281630541968793601,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 153, 'end': 160, 'probability': 0.9961, 'type': 'Person', 'normalized_text': 'Cristina'}], 'mentions': [{'start': 0, 'end': 4, 'username': 'C5N', 'id': '152325528'}]}",Twitter for Android,"[{'type': 'replied_to', 'id': '1565631929973604354'}]",152325528
1565717557708894208,2022-09-02T15:05:30.000Z,"El odio que emana de un sector de la sociedad es tan grande como su ignorancia: quieren que asesinen a Cristina, pero no quieren que la victimicen por ello. Es decir, no quieren que sea la víctima de su propio asesinato.",202692130,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}","{'annotations': [{'start': 103, 'end': 110, 'probability': 0.9968, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for Android,,
1565717473965506560,2022-09-02T15:05:10.000Z,"Hace 15 días la noticia MUNDIAL era Cristina Condenada. No lo soportó… Realiza esta maniobra se VICTIMIZA y 
Hoy la noticia MUNDIAL es pobre Cristina . La perversa lo logró!
#TodoCirco",1347739424,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","{'annotations': [{'start': 36, 'end': 53, 'probability': 0.6738, 'type': 'Person', 'normalized_text': 'Cristina Condenada'}, {'start': 141, 'end': 148, 'probability': 0.9861, 'type': 'Person', 'normalized_text': 'Cristina'}], 'hashtags': [{'start': 174, 'end': 184, 'tag': 'TodoCirco'}]}",Twitter for iPhone,,
1565717454277545984,2022-09-02T15:05:05.000Z,Siempre con Cristina,302241401,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","{'annotations': [{'start': 12, 'end': 19, 'probability': 0.977, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for iPhone,,
1565717381573496835,2022-09-02T15:04:48.000Z,"Soy Alejandro Fidela DNI 22141387
No creo ningún atentado contra la sra vicepresidente Cristina Fernández de Kirchner.
REPUDIO a nuestros representantes, que se creen las operetas y hacen silencio a atentados reales, como los que sufrí en mi domicilio, por haber denunciado NARCOS",146232635,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 4, 'end': 19, 'probability': 0.9165, 'type': 'Person', 'normalized_text': 'Alejandro Fidela'}, {'start': 87, 'end': 104, 'probability': 0.9723, 'type': 'Person', 'normalized_text': 'Cristina Fernández'}, {'start': 109, 'end': 116, 'probability': 0.5653, 'type': 'Person', 'normalized_text': 'Kirchner'}]}",Twitter Web App,,
1565717321397796865,2022-09-02T15:04:33.000Z,Y a Cristina la tienen tan de punto y la persiguen tanto porque ES MUJER! Ni mas ni menos. Porque no veo que estén odiando tanto a todos los dinosaurios chorros que hemos tenido de presidente! El feminismo de la boca para afuera no?,1858768256,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 4, 'end': 11, 'probability': 0.9958, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for iPhone,,
1565717219983921152,2022-09-02T15:04:09.000Z,🟠 Mauricio Macri repudió el atentado contra Cristina Kirchner https://t.co/hAhtU8lbWD #Argentina #Tucumán,1212905733274001409,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 3, 'end': 16, 'probability': 0.9613, 'type': 'Person', 'normalized_text': 'Mauricio Macri'}, {'start': 45, 'end': 61, 'probability': 0.9923, 'type': 'Person', 'normalized_text': 'Cristina Kirchner'}], 'hashtags': [{'start': 86, 'end': 96, 'tag': 'Argentina'}, {'start': 97, 'end': 105, 'tag': 'Tucumán'}], 'urls': [{'start': 62, 'end': 85, 'url': 'https://t.co/hAhtU8lbWD', 'expanded_url': 'http://dlvr.it/SXgJvn', 'display_url': 'dlvr.it/SXgJvn', 'status': 200, 'title': 'Mauricio Macri repudió el atentado contra Cristina Kirchner', 'description': 'Mauricio Macri fue otro de los dirigentes opositores que salieron a repudiar el intento de asesinato a Cristina Kirchner. El', 'unwound_url': 'https://elobservador24.com.ar/mauricio-macri-repudio-el-atentado-contra-cristina-kirchner/?utm_source=dlvr.it&utm_medium=twitter'}]}",dlvr.it,,
1565716971655659521,2022-09-02T15:03:10.000Z,En Casa de Gobierno. En instantes el gobernador Axel Kicillof brindará una conferencia de prensa respecto al intento de asesinato de Cristina Kirchner. https://t.co/ijYFeHyTPj,1268180613087088640,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}","{'annotations': [{'start': 3, 'end': 18, 'probability': 0.4991, 'type': 'Place', 'normalized_text': 'Casa de Gobierno'}, {'start': 48, 'end': 60, 'probability': 0.9933, 'type': 'Person', 'normalized_text': 'Axel Kicillof'}, {'start': 133, 'end': 149, 'probability': 0.9892, 'type': 'Person', 'normalized_text': 'Cristina Kirchner'}], 'urls': [{'start': 152, 'end': 175, 'url': 'https://t.co/ijYFeHyTPj', 'expanded_url': 'https://twitter.com/GonzaloOchoaM/status/1565716971655659521/photo/1', 'display_url': 'pic.twitter.com/ijYFeHyTPj', 'media_key': '3_1565716968912683012'}]}",Twitter for Android,,
1565716816831340545,2022-09-02T15:02:33.000Z,Lo peor que le puede pasar a la Argentina anti-peronista es que maten a Cristina. Lograrían exactamente el efecto inverso.,207115881,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","{'annotations': [{'start': 32, 'end': 40, 'probability': 0.6111, 'type': 'Place', 'normalized_text': 'Argentina'}, {'start': 72, 'end': 79, 'probability': 0.9913, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for Android,,
1565716723218653185,2022-09-02T15:02:11.000Z,"#USA

""@SecBlinken:

Estados Unidos condena enérgicamente el intento de asesinato de la Vicepresidenta Cristina Fernández de Kirchner, @CFKArgentina.  Estamos con el gobierno y el pueblo argentinos en el rechazo de la violencia y el odio. https://t.co/dHD4NO5owD",2749104844,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 21, 'end': 34, 'probability': 0.9007, 'type': 'Place', 'normalized_text': 'Estados Unidos'}, {'start': 103, 'end': 132, 'probability': 0.4057, 'type': 'Person', 'normalized_text': 'Cristina Fernández de Kirchner'}], 'hashtags': [{'start': 0, 'end': 4, 'tag': 'USA'}], 'urls': [{'start': 239, 'end': 262, 'url': 'https://t.co/dHD4NO5owD', 'expanded_url': 'https://twitter.com/SecBlinken/status/1565712470949363713', 'display_url': 'twitter.com/SecBlinken/sta…'}], 'mentions': [{'start': 7, 'end': 18, 'username': 'SecBlinken', 'id': '1350150750966603777'}, {'start': 135, 'end': 148, 'username': 'CFKArgentina', 'id': '138814032'}]}",Twitter for Android,"[{'type': 'quoted', 'id': '1565712470949363713'}]",
1565716720689582080,2022-09-02T15:02:10.000Z,"La mala política construida desde y con los medios hegemónicos continúa perpetuando acciones que debilitan nuestra democracia. Sepan que si algo llegará a pasarle a la compañera Cristina, ellos serán los responsables de lo que pueda ocurrir.",353819543,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}","{'annotations': [{'start': 178, 'end': 185, 'probability': 0.9758, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for Android,"[{'type': 'replied_to', 'id': '1565716492427182080'}]",353819543
1565716720056246272,2022-09-02T15:02:10.000Z,"@ritanjcicca @horaweb @vails40 El fiscal leyo una sarta de declaraciones politicas...y unos cruces de llamadas o chat..donde no solo no es con Cristina  tampoco la nombran 
Lo que si es prueba son los peritajes de vialidad y la uif .que nada encontraron fueron sobreseidos en 2015",3983565681,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 143, 'end': 150, 'probability': 0.9903, 'type': 'Person', 'normalized_text': 'Cristina'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'ritanjcicca', 'id': '877370610497802240'}, {'start': 13, 'end': 21, 'username': 'horaweb', 'id': '1070815147692867586'}, {'start': 22, 'end': 30, 'username': 'vails40', 'id': '202804600'}]}",Twitter for Android,"[{'type': 'replied_to', 'id': '1565712685974568960'}]",877370610497802240
1565716713198559233,2022-09-02T15:02:08.000Z,"@naticai_mdp No. El feriado y la movilización se hace porque es Cristina y para utilizarlo políticamente. Les da igual a ellos la paz social y la vida que tenemos los trabajadores, sino se tomarían medidas por las condiciones que nos hacen vivir. Cada día con más ajuste, represión y pobreza.",2611968237,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","{'annotations': [{'start': 64, 'end': 71, 'probability': 0.9679, 'type': 'Person', 'normalized_text': 'Cristina'}], 'mentions': [{'start': 0, 'end': 12, 'username': 'naticai_mdp', 'id': '1337070334487490560'}]}",Twitter for Android,"[{'type': 'replied_to', 'id': '1565680630473674753'}]",1337070334487490560
1565716646362316801,2022-09-02T15:01:52.000Z,"@paukundera Vamos mí pibes todos a la calle,salgamos en todo el país,vamos militancia a defender la democracia .si a Cristina la hubieran lastimado   estaría Latinoamérica involucrada en una locura social ,renuncia  a los primeros que iniciaron esto ,son unos locos,que hicieron ,",1143313621080006657,"{'retweet_count': 1, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}","{'annotations': [{'start': 117, 'end': 124, 'probability': 0.9975, 'type': 'Person', 'normalized_text': 'Cristina'}, {'start': 158, 'end': 170, 'probability': 0.9053, 'type': 'Place', 'normalized_text': 'Latinoamérica'}], 'mentions': [{'start': 0, 'end': 11, 'username': 'paukundera', 'id': '337698003'}]}",Twitter for Android,"[{'type': 'replied_to', 'id': '1565710269703245830'}]",337698003
1565716492427182080,2022-09-02T15:01:16.000Z,"En #Madryn marchamos frente a la violencia, los atropellos y la embestida del odio que anoche atentó contra nuestra compañera Cristina, vicepresidenta de nuestra patria.  
#FuerzaCristina #TodosConCristinaMasQueNunca https://t.co/iPjbwSYvhC",353819543,"{'retweet_count': 8, 'reply_count': 1, 'like_count': 32, 'quote_count': 1}","{'annotations': [{'start': 126, 'end': 133, 'probability': 0.9759, 'type': 'Person', 'normalized_text': 'Cristina'}], 'hashtags': [{'start': 3, 'end': 10, 'tag': 'Madryn'}, {'start': 172, 'end': 187, 'tag': 'FuerzaCristina'}, {'start': 188, 'end': 216, 'tag': 'TodosConCristinaMasQueNunca'}], 'urls': [{'start': 217, 'end': 240, 'url': 'https://t.co/iPjbwSYvhC', 'expanded_url': 'https://twitter.com/SaKaminker/status/1565716492427182080/photo/1', 'display_url': 'pic.twitter.com/iPjbwSYvhC', 'media_key': '3_1565716440392630273'}, {'start': 217, 'end': 240, 'url': 'https://t.co/iPjbwSYvhC', 'expanded_url': 'https://twitter.com/SaKaminker/status/1565716492427182080/photo/1', 'display_url': 'pic.twitter.com/iPjbwSYvhC', 'media_key': '3_1565716453302697989'}, {'start': 217, 'end': 240, 'url': 'https://t.co/iPjbwSYvhC', 'expanded_url': 'https://twitter.com/SaKaminker/status/1565716492427182080/photo/1', 'display_url': 'pic.twitter.com/iPjbwSYvhC', 'media_key': '3_1565716466976038919'}, {'start': 217, 'end': 240, 'url': 'https://t.co/iPjbwSYvhC', 'expanded_url': 'https://twitter.com/SaKaminker/status/1565716492427182080/photo/1', 'display_url': 'pic.twitter.com/iPjbwSYvhC', 'media_key': '3_1565716481924632576'}]}",Twitter for Android,,
